Robert	M	2468	1884	108
Robert	M	2322	1885	108
Robert	M	2443	1886	108
Robert	M	2814	1888	108
Robert	M	2513	1889	108
Robert	M	2541	1890	108
Robert	M	2240	1891	108
Robert	M	2710	1892	108
Robert	M	2563	1893	108
Robert	M	2497	1894	108
Robert	M	2635	1895	108
Robert	M	2719	1896	108
Robert	M	2701	1897	108
Robert	M	2932	1898	108
Robert	M	2609	1899	108
Robert	M	3821	1900	108
Robert	M	2543	1901	108
Robert	M	3180	1902	108
Robert	M	3044	1903	108
Robert	M	3414	1904	108
Robert	M	3410	1905	108
Robert	M	3635	1906	108
Robert	M	4020	1907	108
Robert	M	4219	1908	108
Robert	M	4563	1909	108
Robert	M	5609	1910	108
Robert	M	6526	1911	108
Robert	M	12836	1912	108
Robert	M	15684	1913	108
Robert	M	21188	1914	108
Robert	M	28738	1915	108
Robert	M	31741	1916	108
Robert	M	35220	1917	108
Robert	M	40620	1918	108
Robert	M	41027	1919	108
Robert	M	48676	1920	108
Robert	M	52784	1921	108
Robert	M	53793	1922	108
Robert	M	56117	1923	108
Robert	M	60801	1924	108
Robert	M	60897	1925	108
Robert	M	61130	1926	108
Robert	M	61669	1927	108
Robert	M	60699	1928	108
Robert	M	59798	1929	108
Robert	M	62149	1930	108
Robert	M	60508	1931	108
Robert	M	59266	1932	108
Robert	M	54218	1933	108
Robert	M	55829	1934	108
Robert	M	56524	1935	108
Robert	M	58492	1936	108
Robert	M	61835	1937	108
Robert	M	62268	1938	108
Robert	M	59645	1939	108
Robert	M	61196	1940	108
Robert	M	64233	1941	108
Robert	M	71838	1942	108
Robert	M	74865	1943	108
Robert	M	70843	1944	108
Robert	M	69937	1945	108
Robert	M	84138	1946	108
Robert	M	91640	1947	108
Robert	M	85475	1948	108
Robert	M	83872	1949	108
Robert	M	83559	1950	108
Robert	M	86351	1951	108
Robert	M	86604	1952	108
Robert	M	86256	1953	108
Robert	M	86298	1954	108
Robert	M	83703	1955	108
Robert	M	83917	1956	108
Robert	M	81717	1957	108
Robert	M	77272	1958	108
Robert	M	74502	1959	108
Robert	M	72360	1960	108
Robert	M	72901	1961	108
Robert	M	70196	1962	108
Robert	M	70012	1963	108
Robert	M	70003	1964	108
Robert	M	63123	1965	108
Robert	M	59330	1966	108
Robert	M	56381	1967	108
Robert	M	58211	1968	108
Robert	M	58325	1969	108
Robert	M	57203	1970	108
Robert	M	50654	1971	108
Robert	M	43037	1972	108
Robert	M	38701	1973	108
Robert	M	37031	1974	108
Robert	M	35335	1975	108
Robert	M	33810	1976	108
Robert	M	34217	1977	108
Robert	M	33396	1978	108
Robert	M	34026	1979	108
Robert	M	34280	1980	108
Robert	M	34406	1981	108
Robert	M	34425	1982	108
Robert	M	32746	1983	108
Robert	M	31773	1984	108
Robert	M	32090	1985	108
Robert	M	31349	1986	108
Robert	M	30229	1987	108
Robert	M	30317	1988	108
Robert	M	30065	1989	108
John	M	9655	1880	108
John	M	8769	1881	108
John	M	9557	1882	108
John	M	8894	1883	108
John	M	9388	1884	108
John	M	8756	1885	108
John	M	9026	1886	108
John	M	8110	1887	108
John	M	9247	1888	108
John	M	8548	1889	108
John	M	8502	1890	108
John	M	7680	1891	108
John	M	9039	1892	108
John	M	8049	1893	108
John	M	8238	1894	108
John	M	8320	1895	108
John	M	8138	1896	108
John	M	7550	1897	108
John	M	8159	1898	108
John	M	6990	1899	108
John	M	9829	1900	108
John	M	6900	1901	108
John	M	7907	1902	108
John	M	7608	1903	108
John	M	8108	1904	108
John	M	8060	1905	108
John	M	8265	1906	108
John	M	8983	1907	108
John	M	9342	1908	108
John	M	9591	1909	108
John	M	11450	1910	108
John	M	13446	1911	108
John	M	24587	1912	108
John	M	29329	1913	108
John	M	37948	1914	108
John	M	47576	1915	108
John	M	50043	1916	108
John	M	51853	1917	108
John	M	56558	1918	108
John	M	53528	1919	108
John	M	56913	1920	108
John	M	58217	1921	108
John	M	57277	1922	108
John	M	57470	1923	108
John	M	59055	1924	108
John	M	57199	1925	108
John	M	56110	1926	108
John	M	55954	1927	108
John	M	53755	1928	108
John	M	52113	1929	108
John	M	52434	1930	108
John	M	48423	1931	108
John	M	48617	1932	108
John	M	46222	1933	108
John	M	46734	1934	108
John	M	47499	1935	108
John	M	47669	1936	108
John	M	48746	1937	108
John	M	50519	1938	108
John	M	51015	1939	108
John	M	54779	1940	108
John	M	57515	1941	108
John	M	66027	1942	108
John	M	68919	1943	108
John	M	66610	1944	108
John	M	66113	1945	108
John	M	79261	1946	108
John	M	88319	1947	108
John	M	82829	1948	108
John	M	81161	1949	108
John	M	79424	1950	108
John	M	81574	1951	108
John	M	83138	1952	108
John	M	80190	1953	108
John	M	81165	1954	108
John	M	80054	1955	108
John	M	80790	1956	108
John	M	78984	1957	108
John	M	75991	1958	108
John	M	76407	1959	108
John	M	76093	1960	108
John	M	79929	1961	108
John	M	78429	1962	108
John	M	78625	1963	108
John	M	82533	1964	108
John	M	71541	1965	108
John	M	65032	1966	108
John	M	61618	1967	108
John	M	60929	1968	108
John	M	58771	1969	108
John	M	58525	1970	108
John	M	51518	1971	108
John	M	43181	1972	108
John	M	39176	1973	108
John	M	37638	1974	108
John	M	35097	1975	108
John	M	34006	1976	108
John	M	34227	1977	108
John	M	34037	1978	108
John	M	35434	1979	108
John	M	35279	1980	108
John	M	34887	1981	108
John	M	34705	1982	108
John	M	33153	1983	108
John	M	32617	1984	108
John	M	31500	1985	108
John	M	30207	1986	108
John	M	27800	1991	108
Mary	F	7065	1880	92
Mary	F	6919	1881	92
Mary	F	8148	1882	92
Mary	F	8012	1883	92
Mary	F	9217	1884	92
Mary	F	9128	1885	92
Mary	F	9889	1886	92
Mary	F	9888	1887	92
Mary	F	11754	1888	92
Mary	F	11648	1889	92
Mary	F	12078	1890	92
Mary	F	11703	1891	92
Mary	F	13172	1892	92
Mary	F	12784	1893	92
Mary	F	13151	1894	92
Mary	F	13446	1895	92
Mary	F	13811	1896	92
Mary	F	13413	1897	92
Mary	F	14406	1898	92
Mary	F	13172	1899	92
Mary	F	16706	1900	92
